arxiv_id,updated_date,published_date,title,summary,authors,comment,categories,pages,figures,num_of_authors,title_length,year_of_publish,month_of_publish,date_of_publish
1807.07445v2,2019-01-11T17:45:30Z,2018-07-19T14:01:57Z,Local-measurement-based quantum state tomography via neural networks,"  Quantum state tomography is a daunting challenge of experimental quantum
computing even in moderate system size. One way to boost the efficiency of
state tomography is via local measurements on reduced density matrices, but the
reconstruction of the full state thereafter is hard. Here, we present a machine
learning method to recover the full quantum state from its local information,
where a fully-connected neural network is built to fulfill the task with up to
seven qubits. In particular, we test the neural network model with a practical
dataset, that in a 4-qubit nuclear magnetic resonance system our method yields
global states via the 2-local information with high accuracy. Our work paves
the way towards scalable state tomography in large quantum systems.
","['Tao Xin', 'Sirui Lu', 'Ningping Cao', 'Galit Anikeeva', 'Dawei Lu', 'Jun Li', 'Guilu Long', 'Bei Zeng']","10 pages, 4 figures, 3 tables",['quant-ph'],10.0,4.0,8,7,2018,7,19
1901.02462v1,2019-01-08T19:00:02Z,2019-01-08T19:00:02Z,"Experimental quantum stochastic walks simulating associative memory of
  Hopfield neural networks","  With the increasing crossover between quantum information and machine
learning, quantum simulation of neural networks has drawn unprecedentedly
strong attention, especially for the simulation of associative memory in
Hopfield neural networks due to their wide applications and relatively simple
structures that allow for easier mapping to the quantum regime. Quantum
stochastic walk, a strikingly powerful tool to analyze quantum dynamics, has
been recently proposed to simulate the firing pattern and associative memory
with a dependence on Hamming Distance. We successfully map the theoretical
scheme into a three-dimensional photonic chip and realize quantum stochastic
walk evolution through well-controlled detunings of the propagation constant.
We demonstrate a good match rate of the associative memory between the
experimental quantum scheme and the expected result for Hopfield neural
networks. The ability of quantum simulation for an important feature of a
neural network, combined with the scalability of our approach through low-loss
integrated chip and straightforward Hamiltonian engineering, provides a primary
but steady step towards photonic artificial intelligence devices for
optimization and computation tasks of greatly improved efficiencies.
","['Hao Tang', 'Zhen Feng', 'Ying-Han Wang', 'Peng-Cheng Lai', 'Chao-Yue Wang', 'Zhuo-Yang Ye', 'Cheng-Kai Wang', 'Zi-Yu Shi', 'Tian-Yu Wang', 'Yuan Chen', 'Jun Gao', 'Xian-Min Jin']","6 pages, 4 figures","['quant-ph', 'physics.optics']",6.0,4.0,12,11,2019,1,8
1812.10156v1,2018-12-25T19:11:25Z,2018-12-25T19:11:25Z,Deep neural networks are biased towards simple functions,"  We prove that the binary classifiers of bit strings generated by random wide
deep neural networks are biased towards simple functions. The simplicity is
captured by the following two properties. For any given input bit string, the
average Hamming distance of the closest input bit string with a different
classification is at least $\sqrt{n\left/\left(2\pi\ln n\right)\right.}$, where
$n$ is the length of the string. Moreover, if the bits of the initial string
are flipped randomly, the average number of flips required to change the
classification grows linearly with $n$. On the contrary, for a uniformly random
binary classifier, the average Hamming distance of the closest input bit string
with a different classification is one, and the average number of random flips
required to change the classification is two. These results are confirmed by
numerical experiments on deep neural networks with two hidden layers, and
settle the conjecture stating that random deep neural networks are biased
towards simple functions. The conjecture that random deep neural networks are
biased towards simple functions was proposed and numerically explored in [Valle
P\'erez et al., arXiv:1805.08522] to explain the unreasonably good
generalization properties of deep learning algorithms. By providing a precise
characterization of the form of this bias towards simplicity, our results open
the way to a rigorous proof of the generalization properties of deep learning
algorithms in real-world scenarios.
","['Giacomo De Palma', 'Bobak Toussi Kiani', 'Seth Lloyd']",,"['stat.ML', 'cond-mat.dis-nn', 'cs.LG', 'math-ph', 'math.MP', 'quant-ph']",,,3,8,2018,12,25
1812.09329v1,2018-12-21T19:00:01Z,2018-12-21T19:00:01Z,QuCumber: wavefunction reconstruction with neural networks,"  As we enter a new era of quantum technology, it is increasingly important to
develop methods to aid in the accurate preparation of quantum states for a
variety of materials, matter, and devices. Computational techniques can be used
to reconstruct a state from data, however the growing number of qubits demands
ongoing algorithmic advances in order to keep pace with experiments. In this
paper, we present an open-source software package called QuCumber that uses
machine learning to reconstruct a quantum state consistent with a set of
projective measurements. QuCumber uses a restricted Boltzmann machine to
efficiently represent the quantum wavefunction for a large number of qubits.
New measurements can be generated from the machine to obtain physical
observables not easily accessible from the original data.
","['Matthew J. S. Beach', 'Isaac De Vlugt', 'Anna Golubeva', 'Patrick Huembeli', 'Bohdan Kulchytskyy', 'Xiuzhe Luo', 'Roger G. Melko', 'Ejaaz Merali', 'Giacomo Torlai']","18 pages, 4 figures, see https://github.com/PIQuIL/QuCumber","['quant-ph', 'cond-mat.str-el']",18.0,4.0,9,6,2018,12,21
1812.08388v2,2018-12-21T02:44:43Z,2018-12-20T07:10:45Z,"Parameters optimization and real-time calibration of
  Measurement-Device-Independent Quantum Key Distribution Network based on Back
  Propagation Artificial Neural Network","  The parameters choosing (such as probabilities of choosing X-basis or
Z-basis, intensity of signal state and decoy state, etc.) and system
calibrating will be more challenging when the number of users of a
measurement-device-independent quantum key distribution(MDI-QKD) network
becomes larger. At present, people usually use optimization algorithms to
search the best parameters. This method can find the optimized parameters
accurately but may cost lots of time and hardware resources. It's a big problem
in large scale MDI-QKD network. Here, we present a new method, using Back
Propagation Artificial Neural Network(BPNN) to predict, rather than searching
the optimized parameters. Compared with optimization algorithms, our BPNN is
faster and more lightweight, it can save system resources. Another big problem
brought by large scale MDI-QKD network is system recalibration. BPNN can
support this work in real time, and it only needs to use some discarded data
generated from communication process, rather than require us to add additional
devices or scan the system
","['Feng-Yu Lu', 'Zhen-Qiang Yin', 'Chao Wang', 'Chao-Han Cui', 'Jun Teng', 'Shuang Wang', 'Wei Chen', 'Wei Huang', 'Bing-Jie Xu', 'Guang-Can Guo', 'Zheng-Fu Han']","7 pages, 8 figures",['quant-ph'],7.0,8.0,11,18,2018,12,20
1812.08338v1,2018-12-18T14:11:24Z,2018-12-18T14:11:24Z,"Quantum computing and the brain: quantum nets, dessins d'enfants and
  neural networks","  In this paper, we will discuss a formal link between neural networks and
quantum computing. For that purpose we will present a simple model for the
description of the neural network by forming sub-graphs of the whole network
with the same or a similar state. We will describe the interaction between
these areas by closed loops, the feedback loops. The change of the graph is
given by the deformations of the loops. This fact can be mathematically
formalized by the fundamental group of the graph. Furthermore the neuron has
two basic states $|0\rangle$ (ground state) and $|1\rangle$ (excited state).
The whole state of an area of neurons is the linear combination of the two
basic state with complex coefficients representing the signals (with 3
Parameters: amplitude, frequency and phase) along the neurons. Then it can be
shown that the set of all signals forms a manifold (character variety) and all
properties of the network must be encoded in this manifold. In the paper, we
will discuss how to interpret learning and intuition in this model. Using the
Morgan-Shalen compactification, the limit for signals with large amplitude can
be analyzed by using quasi-Fuchsian groups as represented by dessins d'enfants
(graphs to analyze Riemannian surfaces). As shown by Planat and collaborators,
these dessins d'enfants are a direct bridge to (topological) quantum computing
with permutation groups. The normalization of the signal reduces to the group
$SU(2)$ and the whole model to a quantum network. Then we have a direct
connection to quantum circuits. This network can be transformed into operations
on tensor networks. Formally we will obtain a link between machine learning and
Quantum computing.
",['Torsten Asselmeyer-Maluga'],"17 pages, 3 Figures, accepted for the proceedings of the QTech 2018
  conference (September 2018, Paris)","['quant-ph', 'cs.LG', 'cs.NE']",17.0,3.0,1,12,2018,12,18
1812.06693v1,2018-12-17T10:59:16Z,2018-12-17T10:59:16Z,Adaptive Quantum State Tomography with Neural Networks,"  Quantum State Tomography is the task of determining an unknown quantum state
by making measurements on identical copies of the state. Current algorithms are
costly both on the experimental front -- requiring vast numbers of measurements
-- as well as in terms of the computational time to analyze those measurements.
In this paper, we address the problem of analysis speed and flexibility,
introducing \textit{Neural Adaptive Quantum State Tomography} (NA-QST), a
machine learning based algorithm for quantum state tomography that adapts
measurements and provides orders of magnitude faster processing while retaining
state-of-the-art reconstruction accuracy. Our algorithm is inspired by particle
swarm optimization and Bayesian particle-filter based adaptive methods, which
we extend and enhance using neural networks. The resampling step, in which a
bank of candidate solutions -- particles -- is refined, is in our case learned
directly from data, removing the computational bottleneck of standard methods.
We successfully replace the Bayesian calculation that requires computational
time of $O(\mathrm{poly}(n))$ with a learned heuristic whose time complexity
empirically scales as $O(\log(n))$ with the number of copies measured $n$,
while retaining the same reconstruction accuracy. This corresponds to a factor
of a million speedup for $10^7$ copies measured. We demonstrate that our
algorithm learns to work with basis, symmetric informationally complete (SIC),
as well as other types of POVMs. We discuss the value of measurement adaptivity
for each POVM type, demonstrating that its effect is significant only for basis
POVMs. Our algorithm can be retrained within hours on a single laptop for a
two-qubit situation, which suggests a feasible time-cost when extended to
larger systems. It can also adapt to a subset of possible states, a choice of
the type of measurement, and other experimental details.
","['Yihui Quek', 'Stanislav Fort', 'Hui Khoon Ng']","First two authors (Yihui Quek and Stanislav Fort) contributed
  equally. 13 pages, 10 figures","['quant-ph', 'cs.LG']",13.0,10.0,3,7,2018,12,17
1811.12420v3,2018-12-16T10:16:26Z,2018-11-29T19:00:04Z,"Using a Recurrent Neural Network to Reconstruct Quantum Dynamics of a
  Superconducting Qubit from Physical Observations","  At its core, Quantum Mechanics is a theory developed to describe fundamental
observations in the spectroscopy of solids and gases. Despite these practical
roots, however, quantum theory is infamous for being highly counterintuitive,
largely due to its intrinsically probabilistic nature. Neural networks have
recently emerged as a powerful tool that can extract non-trivial correlations
in vast datasets. They routinely outperform state-of-the-art techniques in
language translation, medical diagnosis and image recognition. It remains to be
seen if neural networks can be trained to predict stochastic quantum evolution
without a priori specifying the rules of quantum theory. Here, we demonstrate
that a recurrent neural network can be trained in real time to infer the
individual quantum trajectories associated with the evolution of a
superconducting qubit under unitary evolution, decoherence and continuous
measurement from raw observations only. The network extracts the system
Hamiltonian, measurement operators and physical parameters. It is also able to
perform tomography of an unknown initial state without any prior calibration.
This method has potential to greatly simplify and enhance tasks in quantum
systems such as noise characterization, parameter estimation, feedback and
optimization of quantum control.
","['Emmanuel Flurin', 'Leigh S. Martin', 'Shay Hacohen-Gourgy', 'Irfan Siddiqi']",,['quant-ph'],,,4,16,2018,11,29
1711.03357v3,2018-12-12T23:55:50Z,2017-11-09T12:55:59Z,"Compact Neural Networks based on the Multiscale Entanglement
  Renormalization Ansatz","  This paper demonstrates a method for tensorizing neural networks based upon
an efficient way of approximating scale invariant quantum states, the
Multi-scale Entanglement Renormalization Ansatz (MERA). We employ MERA as a
replacement for the fully connected layers in a convolutional neural network
and test this implementation on the CIFAR-10 and CIFAR-100 datasets. The
proposed method outperforms factorization using tensor trains, providing
greater compression for the same level of accuracy and greater accuracy for the
same level of compression. We demonstrate MERA layers with 14000 times fewer
parameters and a reduction in accuracy of less than 1% compared to the
equivalent fully connected layers, scaling like O(N).
","['Andrew Hallam', 'Edward Grant', 'Vid Stojevic', 'Simone Severini', 'Andrew G. Green']","8 pages, 2 figures","['cs.NE', 'cs.CV', 'quant-ph']",8.0,2.0,5,10,2017,11,9
1901.00731v1,2018-12-10T16:27:21Z,2018-12-10T16:27:21Z,Black-Hole evaporation from the perspective of neural networks,"  We study the black-hole evaporation from the perspective of neural networks.
We then analyze the evolution of the Hamiltonian, finding in this way the
conditions under which the synapse connecting the neurons changes from
gravitatory to inhibitory during the evaporation process.
",['Ivan Arraut'],"4 pages, Published version","['hep-th', 'cond-mat.quant-gas', 'quant-ph']",4.0,,1,8,2018,12,10
1812.03089v1,2018-12-07T16:24:02Z,2018-12-07T16:24:02Z,Quantum algorithms for feedforward neural networks,"  Quantum machine learning has the potential for broad industrial applications,
and the development of quantum algorithms for improving the performance of
neural networks is of particular interest given the central role they play in
machine learning today. In this paper we present quantum algorithms for
training and evaluating feedforward neural networks based on the canonical
classical feedforward and backpropagation algorithms. Our algorithms rely on an
efficient quantum subroutine for approximating the inner products between
vectors, and on storing intermediate values in quantum random access memory for
fast retrieval at later stages. The running times of our algorithms can be
quadratically faster than their classical counterparts, since they depend
linearly on the number of neurons in the network, as opposed to the number of
edges as in the classical case. This makes our algorithms suited for
large-scale, highly-connected networks where the number of edges in the network
dominates the classical algorithmic running time.
","['Jonathan Allcock', 'Chang-Yu Hsieh', 'Iordanis Kerenidis', 'Shengyu Zhang']","18 pages, 2 figures","['quant-ph', 'cs.LG']",18.0,2.0,4,6,2018,12,7
1807.03253v3,2018-12-06T20:21:19Z,2018-07-09T15:57:17Z,Benchmarking neural networks for quantum computation,"  The power of quantum computers is still somewhat speculative. While they are
certainly faster than classical ones at some tasks, the class of problems they
can efficiently solve has not been mapped definitively onto known classical
complexity theory. This means that we do not know for which calculations there
will be a ""quantum advantage,"" once an algorithm is found. One way to answer
the question is to find those algorithms, but finding truly quantum algorithms
turns out to be very difficult. In previous work over the past three decades we
have pursued the idea of using techniques of machine learning to develop
algorithms for quantum computing. Here we compare the performance of standard
real- and complex-valued classical neural networks with that of one of our
models for a quantum neural network, on both classical problems and on an
archetypal quantum problem: the computation of an entanglement witness. The
quantum network is shown to need far fewer epochs and a much smaller network to
achieve comparable or better results.
","['N. H. Nguyen', 'E. C. Behrman', 'M. A. Moustafa', 'J. E. Steck']","Revised substantially, and resubmitted to IEEE Transactions on Neural
  Networks and Learning Systems",['quant-ph'],,,4,6,2018,7,9
1811.12456v2,2018-12-05T17:25:06Z,2018-11-29T19:57:03Z,Designing neural network based decoders for surface codes,"  Recent works have shown that small distance quantum error correction codes
can be efficiently decoded by employing machine learning techniques like neural
networks. Various techniques employing neural networks have been used to
increase the decoding performance, however, there is no framework that analyses
a step-by-step procedure in designing such a neural network based decoder. The
main objective of this work is to present a detailed framework that
investigates the way that various neural network parameters affect the decoding
performance, the training time and the execution time of a neural network based
decoder. We focus on neural network parameters such as the size of the training
dataset, the structure, and the type of the neural network, the batch size and
the learning rate used during training. We compare various decoding strategies
and showcase how these influence the objectives for different error models. For
the noiseless syndrome measurements, we reach up to 50\% improvement against
the benchmark algorithm (Blossom) and for the noisy syndrome measurements, we
show efficient decoding performance up to 97 qubits for the rotated Surface
code. Furthermore, we show that the scaling of the execution time (time
calculated during the inference phase) is linear with the number of qubits,
which is a significant improvement compared to existing classical decoding
algorithms that scale polynomially with the number of qubits.
","['Savvas Varsamopoulos', 'Koen Bertels', 'Carmen G. Almudever']","12 pages, 14 figures",['quant-ph'],12.0,14.0,3,8,2018,11,29
1805.05462v2,2018-12-03T21:27:26Z,2018-05-14T21:33:44Z,Quantum neural networks to simulate many-body quantum systems,"  We conduct experimental simulations of many body quantum systems using a
\emph{hybrid} classical-quantum algorithm. In our setup, the wave function of
the transverse field quantum Ising model is represented by a restricted
Boltzmann machine. This neural network is then trained using variational Monte
Carlo assisted by a D-Wave quantum sampler to find the ground state energy. Our
results clearly demonstrate that already the first generation of quantum
computers can be harnessed to tackle non-trivial problems concerning physics of
many body quantum systems.
","['Bartłomiej Gardas', 'Marek M. Rams', 'Jacek Dziarmaga']","6 pages, 4 figures",['quant-ph'],6.0,4.0,3,8,2018,5,14
1811.12630v1,2018-11-30T06:08:03Z,2018-11-30T06:08:03Z,"Quantum topology identification with deep neural networks and quantum
  walks","  Topologically ordered materials may serve as a platform for new quantum
technologies such as fault-tolerant quantum computers. To fulfil this promise,
efficient and general methods are needed to discover and classify new
topological phases of matter. We demonstrate that deep neural networks
augmented with external memory can use the density profiles formed in quantum
walks to efficiently identify properties of a topological phase as well as
phase transitions. On a trial topological ordered model, our method's accuracy
of topological phase identification reaches 97% and is shown to be robust to
noise on the data. Our approach is generally applicable and may be used for
topology identification with a variety of quantum materials.
","['Yurui Ming', 'Chin-Teng Lin', 'Stephen D. Bartlett', 'Wei-Wei Zhang']","7 pages, 3 figures and 2 tables",['quant-ph'],7.0,3.0,4,10,2018,11,30
1811.08893v1,2018-11-21T12:58:48Z,2018-11-21T12:58:48Z,"Energy Levels of One Dimensional Anharmonic Oscillator via Neural
  Networks","  In this work, we obtained energy levels of one dimensional quartic anharmonic
oscillator by using neural network system. Quartic anharmonic oscillator is a
very important tool in quantum mechanics and also in quantum field theory. Our
results are in good agreement in high accuracy with the reference studies.
",['Halil Mutuk'],"5 pages, 3 figures",['quant-ph'],5.0,3.0,1,10,2018,11,21
1811.07835v1,2018-11-19T17:48:33Z,2018-11-19T17:48:33Z,Neural Belief-Propagation Decoders for Quantum Error-Correcting Codes,"  Belief-propagation (BP) decoders play a vital role in modern coding theory,
but they are not suitable to decode quantum error-correcting codes because of a
unique quantum feature called error degeneracy. Inspired by an exact mapping
between BP and deep neural networks, we train neural BP decoders for quantum
low-density parity-check (LDPC) codes with a loss function tailored to error
degeneracy. Training substantially improves the performance of BP decoders for
all families of codes we tested and may solve the degeneracy problem which
plagues the decoding of quantum LDPC codes.
","['Ye-Hua Liu', 'David Poulin']",,"['quant-ph', 'cond-mat.stat-mech']",,,2,7,2018,11,19
1811.06654v2,2018-11-19T02:18:44Z,2018-11-16T02:16:48Z,Neural network state estimation for full quantum state tomography,"  An efficient state estimation model, neural network estimation (NNE),
empowered by machine learning techniques, is presented for full quantum state
tomography (FQST). A parameterized function based on neural network is applied
to map the measurement outcomes to the estimated quantum states. Parameters are
updated with supervised learning procedures. From the computational complexity
perspective our algorithm is the most efficient one among existing state
estimation algorithms for full quantum state tomography. We perform numerical
tests to prove both the accuracy and scalability of our model.
","['Qian Xu', 'Shuqi Xu']",,"['quant-ph', 'cs.AI']",,,2,9,2018,11,16
1810.12948v1,2018-10-30T18:17:08Z,2018-10-30T18:17:08Z,Quantum advantage in training binary neural networks,"  Neural networks have become a corner stone of artificial intelligence. Once a
task is defined, a neural network needs to undergo a training phase in order to
calibrate the network parameters. On a classical computer, the number of
training cycles is strongly correlated with the amount of parameters in the
neural network, making an optimization of the parameters computationally
expensive. Here, we propose the a fully quantum training protocol for quantum
binary neurons. We show that for special cases this protocol yields a quadratic
advantage over commonly used classical training methods, and numerics suggests
that this advantage is generic for most instances. The source of this advantage
is the possibility to run training cycles in a quantum superposition. Further,
we present an extension of the training of single quantum binary neurons to
feedforward binary neural networks.
","['Yidong Liao', 'Oscar Dahlsten', 'Daniel Ebler', 'Feiyang Liu']","8 pages, 8 figures",['quant-ph'],8.0,8.0,4,7,2018,10,30
